번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
1,밥류,콩나물해장국,700,223.26,12.05,24,8.78,0.06,1950.91,125.03,1.48,0.03
2,밥류,콩나물해장국(강원도),700,280,11.56,34.71,10.35,0,1731.65,127.46,1.71,0.04
3,밥류,콩나물해장국(경기도),700,231,10.18,19.94,11.97,0,1772.6,100.26,0.71,0.02
4,밥류,콩나물해장국(경상도),700,238,7.66,18.94,14.7,0,1768.23,155.74,1.55,0.04
5,밥류,콩나물해장국(서울),700,189,13.52,23.73,4.58,0,1885.58,132.21,1.55,0.03
6,밥류,콩나물해장국(전라도),700,259,20.29,20.18,10.46,0.33,2575.2,129.11,1.8,0
7,밥류,콩나물해장국(충청도),700,147,9.12,26.52,0.62,0,1972.24,105.4,1.53,0.02
8,밥류,소머리국밥,800,631.99,17.53,75.98,28.66,0,823.26,241.92,9.67,0.6
9,밥류,소머리국밥(강원도),800,616,3.62,86.18,28.35,0,578.1,276.39,10.38,0.58
10,밥류,소머리국밥(경기도),800,792,15.53,96.42,37.97,0,564.89,350.7,17.1,1.26
11,밥류,소머리국밥(경상도),800,784,30.76,86.93,34.96,0,1091.48,291.5,10.96,0.49
12,밥류,소머리국밥(서울),800,552,17.24,54.48,29.61,0,799.6,169.73,7.82,0.7
13,밥류,소머리국밥(전라도),800,600,23.16,76.11,22.63,0,1175.8,197.75,5.66,0.32
14,밥류,소머리국밥(충청도),800,448,14.87,55.81,18.42,0,729.71,165.43,6.11,0.27
15,밥류,김밥,200,317.68,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06
16,밥류,김밥(강원도),200,322,60.79,6.55,5.75,0.37,830.16,51.18,3.04,0.09
17,밥류,김밥(경기도),200,354,64.43,6.84,7.68,0.14,930.76,37.2,1.24,0.02
18,밥류,김밥(경상도),200,310,54.21,6.81,7.36,1.36,784.9,23.98,2.22,0.02
19,밥류,김밥(서울),200,304,53.1,10.33,5.56,0.17,733.69,43.91,1.03,0.03
20,밥류,김밥(전라도),200,314,56.09,5.65,7.45,0.9,877.64,32.03,6.32,0.13
21,밥류,김밥(충청도),200,302,56.83,7.39,5.08,0.08,842.58,54.64,2.64,0.1
22,밥류,김치김밥,250,344.97,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05
23,밥류,김치김밥(강원도),250,347.5,61.73,9.6,6.78,0.93,1127.72,50.51,1.72,0.06
24,밥류,김치김밥(경기도),250,345,59.2,10.66,7.37,2.62,1098.71,86.39,1.74,0.08
25,밥류,김치김밥(경상도),250,335,62.06,11.4,4.6,2.91,1108.53,71.6,1.49,0
26,밥류,김치김밥(서울),250,357.5,62.24,11.38,7.03,2.82,1083.81,75.06,1.48,0.04
27,밥류,김치김밥(전라도),250,340,59.55,11.12,6.28,1.32,1201.2,74.72,1.57,0.05
28,밥류,김치김밥(충청도),250,345,59.22,11.41,7.02,0.53,1253.24,86.78,1.49,0.04
29,밥류,샐러드김밥,250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
30,밥류,샐러드김밥(강원도),250,407.5,63.23,8.62,13.3,1.59,916.4,84.3,2.8,0.06
31,밥류,샐러드김밥(경기도),250,402.5,60.54,10.22,13.38,1.96,871.3,87.82,2.8,0.06
32,밥류,샐러드김밥(경상도),250,400,58.1,10.85,13.87,5.98,958.02,77.97,2.83,0
33,밥류,샐러드김밥(서울),250,402.5,64.73,9.86,11.65,3.94,950.3,85.18,2.25,0.08
34,밥류,샐러드김밥(전라도),250,395,61.73,8.89,12.58,4.58,906.16,84.43,3.36,0.08
35,밥류,샐러드김밥(충청도),250,425,60.36,9.26,16.33,2.47,864.9,87.78,2.7,0.06
36,밥류,소고기김밥,250,400.61,62.52,15.98,9.62,0.84,1061.19,93.08,2.52,0.11
37,밥류,소고기김밥(강원도),250,402.5,60.93,15.61,10.58,0,1067.88,76.13,2.32,0.1
38,밥류,소고기김밥(경기도),250,395,62.29,15.26,9.46,1.33,1014.24,94.7,2.6,0.13
39,밥류,소고기김밥(경상도),250,370,63.04,16.02,5.85,0.35,1100.37,75.37,2.26,0.06
40,밥류,소고기김밥(서울),250,395,65.45,15.12,8,1.94,1059.82,110.86,2,0.15
41,밥류,소고기김밥(전라도),250,432.5,63.76,16.46,12.42,0.49,1055.03,96.21,3.42,0.18
42,밥류,소고기김밥(충청도),250,410,59.63,17.38,11.44,0.92,1069.8,105.24,2.55,0.04
43,밥류,참치김밥,250,424.06,64.76,12.73,12.68,0.6,1108.41,97.82,3.91,0.18
44,밥류,참치김밥(강원도),250,467.5,54.87,13.78,21.38,0,897.23,45.88,4.96,0.11
45,밥류,참치김밥(경기도),250,395,63.7,12.9,9.95,0.85,796.28,45.72,2.13,0.06
46,밥류,참치김밥(경상도),250,415,68.92,13.62,9.47,0.18,776.53,40.16,2.86,0.06
47,밥류,참치김밥(서울),250,417.5,61.64,16.36,11.68,0.8,996.66,58.22,1.42,0.03
48,밥류,참치김밥(전라도),250,405,64.14,12.82,10.86,0.04,812.46,46.16,2,0.04
49,밥류,참치김밥(충청도),250,407.5,53.99,17.59,13.48,0,908.22,43.99,2.92,0.07
50,밥류,치즈김밥,250,425,64.75,12.75,12.75,0.5,1108.4,97.82,4,0.25
51,밥류,치즈김밥(강원도),250,425,64.19,13.02,12.79,0.46,1082.32,83.97,4,0.21
52,밥류,치즈김밥(경기도),250,392.5,67.42,12.83,7.81,0.48,1116.28,111.08,4.04,0.19
53,밥류,치즈김밥(경상도),250,422.5,63.83,12.26,13.05,1.17,1100.54,84.22,4.05,0.22
54,밥류,치즈김밥(서울),250,437.5,68.28,13.96,12.03,0.34,1125.54,91.34,3.5,0.16
55,밥류,치즈김밥(전라도),250,435,61.76,12.6,15.35,0.73,1132.4,116.62,4.22,0.16
56,밥류,치즈김밥(충청도),250,435,63.07,11.72,15.06,0.39,1093.36,99.7,3.66,0.17
57,밥류,충무김밥,400,583.93,109.16,23.42,5.96,17.19,1294.27,156.85,1.1,0.02
58,밥류,충무김밥(강원도),400,608,120.46,21.18,4.59,18.67,742,115.16,0.95,0.02
59,밥류,충무김밥(경기도),400,592,103.55,28.13,7.18,14.72,1701.9,203.82,1.08,0.03
60,밥류,충무김밥(경상도),400,564,105.38,24.85,4.93,20.82,1266.14,168.36,1,0.01
61,밥류,충무김밥(서울),400,580,102.54,26.39,6.93,13.66,1508.28,237.91,1.16,0.04
62,밥류,충무김밥(전라도),400,596,109.47,25.23,6.39,25.94,1206.58,175.28,1.21,0.02
63,밥류,충무김밥(충청도),400,564,113.54,14.77,5.72,9.32,1340.7,40.6,1.18,0.03
64,밥류,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01
